start_time,end_time,script,config_type,nodes,cpus,mem_gb,exit_code
2025-07-10 18:42:47,2025-07-10 22:17:06,viral_detection_pipeline.py,slurm,1,16,80,0
2025-07-11 09:46:45,2025-07-11 13:41:26,viral_detection_parsl.py,parsl-embedded,1,16,80,0
2025-07-11 14:30:51,2025-07-11 18:18:44,viral_detection_pipeline.py,slurm,1,16,80,0
2025-07-11 18:59:10,2025-07-11 21:15:35,viral_detection_parsl.py,parsl-embedded,1,94,80,0
2025-07-11 23:02:07,2025-07-12 01:22:22,viral_detection_parsl.py,parsl-embedded,2,94,80,0
2025-07-12 08:24:45,2025-07-12 10:00:58,viral_detection_parsl.py,parsl-embedded,4,94,80,0
2025-07-13 20:58:29,2025-07-13 23:08:01,viral_detection_parsl.py,parsl-embedded,8,94,80,0
2025-07-15 15:58:05,2025-07-15 17:33:29,viral_detection_parsl.py,parsl-embedded,6,94,80,0
2025-07-16 09:09:35,2025-07-16 11:28:20,viral_detection_parsl.py,parsl-embedded,5,94,80,0
2025-07-16 11:49:50,2025-07-16 14:02:27,viral_detection_parsl.py,parsl-embedded,7,94,80,0
2025-07-16 13:57:08,2025-07-16 16:05:29,viral_detection_parsl.py,parsl-embedded,10,94,80,0
2025-07-17 10:17:32,2025-07-17 12:11:33,viral_detection_parsl.py,parsl-embedded,9,94,80,0
2025-07-17 12:26:58,2025-07-17 14:39:02,viral_detection_parsl.py,parsl-embedded,3,94,80,0
2025-07-17 16:21:26,2025-07-17 18:43:23,viral_detection_parsl.py,parsl-embedded,1,55,80,0
2025-07-17 20:26:22,2025-07-17 23:03:39,viral_detection_parsl.py,parsl-embedded,1,35,80,0
